route_id,direction_id,direction
14490,1,Inbound
14490,0,Outbound
4731,1,Inbound
4731,0,Outbound
4723,1,Inbound
4509,1,Inbound
4509,0,Outbound
4508,1,Inbound
4508,0,Outbound
4506,1,Inbound
4506,0,Outbound
1791,1,Inbound
1791,0,Outbound
1789,1,Inbound
1789,0,Outbound
1788,1,Inbound
1788,0,Outbound
1787,1,Inbound
1787,0,Outbound
1786,1,Inbound
1786,0,Outbound
1784,1,Inbound
1784,0,Outbound
1783,1,Inbound
1783,0,Outbound
1782,1,Inbound
1782,0,Outbound
1781,1,Inbound
1781,0,Outbound
1780,1,Inbound
1780,0,Outbound
1777,1,Inbound
1777,0,Outbound
1768,1,Inbound
1768,0,Outbound
1767,1,Inbound
1767,0,Outbound
1765,1,Inbound
1765,0,Outbound
1763,1,Inbound
1763,0,Outbound
1762,1,Inbound
1762,0,Outbound
